Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,PlayerID
1,Colston Loveland,21,TE,2,1,25,12,193,9,144,12.0,49,4.1,12.5,0,,2,8.0,1,57.6,,LoveCo00
2,D.J. Moore,28,WR,2,2,15,11,116,5,63,5.7,53,4.8,9.1,0,,1,6.7,1,107.2,,MoorD.00
3,Luther Burden,22,WR,2,1,14,6,66,3,27,4.5,39,6.5,10.2,1,6.0,1,7.1,2,17.9,,BurdLu00
4,Kyle Monangai,23,RB,2,0,7,5,58,3,-4,-0.8,62,12.4,0.6,0,,0,0.0,0,96.1,,MonaKy00
5,Rome Odunze,23,WR,2,2,12,4,88,4,80,20.0,8,2.0,18.1,0,,1,8.3,0,60.4,,OdunRo00
6,Cole Kmet,26,TE,2,2,5,3,31,2,23,7.7,8,2.7,6.6,0,,0,0.0,1,77.9,,KmetCo00
7,Durham Smythe,30,TE,2,0,3,2,11,0,11,5.5,0,0.0,9.3,0,,0,0.0,0,72.9,,SmytDu00
8,D'Andre Swift,26,RB,1,1,2,2,38,2,4,2.0,34,17.0,2.0,0,,0,0.0,0,118.7,,SwifDA00
9,Olamide Zaccheaus,28,WR,2,0,4,2,17,1,11,5.5,6,3.0,11.8,0,,0,0.0,0,101.0,,ZaccOl01
10,Theo Benedet,24,G,1,0,1,0,0,0,0,,0,,3.0,0,,1,100.0,0,39.6,,BeneTh00
,Team Totals,,,2,2,88,47,618,29,359,7.6,259,5.5,10.5,1,47.0,6,6.8,5,67.3,,-9999
