Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards,PlayerID
1,Tremaine Edmunds,27,LB,13,13,4,63,48,76.2,423,8.8,6.7,2,77.7,5.0,220,203,39,2,1,1,1.0,4,112,7,5.9,,EdmuTr01
2,Jaquan Brisker,26,DB,17,17,1,48,36,75.0,426,11.8,8.9,5,127.6,10.2,298,128,41,1,2,2,1.0,4,93,7,7.0,,BrisJa01
3,Kevin Byard,32,DB,17,17,7,52,33,63.5,545,16.5,10.5,7,98.6,12.4,383,162,6,1,0,0,0.0,1,93,7,7.0,PBAP-1,ByarKe01
4,Nahshon Wright,27,CB,17,16,5,98,60,61.2,813,13.6,8.3,6,86.8,11.6,596,217,1,0,1,0,0.0,1,80,10,11.1,PB,WrigNa00
5,T.J. Edwards,29,LB,10,10,1,44,28,63.6,282,10.1,6.4,3,95.1,5.1,131,151,25,2,2,1,0.5,5,67,4,5.6,,EdwaTJ02
6,Noah Sewell,23,LB,13,9,0,35,29,82.9,274,9.4,7.8,3,127.9,4.6,108,166,15,2,0,0,0.0,2,59,9,13.2,,SeweNo00
7,Montez Sweat,29,DL,17,17,0,3,2,66.7,11,5.5,3.7,0,72.9,8.3,8,3,1,10,6,5,10.0,27,53,4,7.0,,SweaMo00
8,C.J. Gardner-Johnson,28,S,10,7,2,54,36,66.7,370,10.3,6.9,3,89.3,6.7,178,192,30,0,2,0,3.0,5,51,8,13.6,,GardCh00
9,Tyrique Stevenson,25,DB,13,10,1,57,33,57.9,512,15.5,9.0,1,86.3,10.7,322,190,0,0,0,0,0.0,0,49,6,10.9,,StevTy01
10,Gervon Dexter,24,DL,17,17,0,2,2,100.0,14,7.0,7.0,0,95.8,1.5,3,11,0,10,5,0,6.0,22,44,7,13.7,,DextGe00
11,D'Marco Jackson,27,LB,16,4,1,12,8,66.7,28,3.5,2.3,0,35.4,-0.2,-5,33,11,1,0,0,1.0,2,43,0,0.0,,JackDM00
12,Grady Jarrett,32,DL,14,4,0,1,1,100.0,5,5.0,5.0,0,87.5,-4.0,-4,9,1,3,6,2,1.5,11,39,1,2.5,,JarrGr00
13,Austin Booker,23,DL,10,9,0,0,0,,0,,,0,,,0,0,0,10,3,2,4.5,18,35,2,5.4,,BookAu00
14,Andrew Billings,30,DL,17,14,0,0,0,,0,,,0,,,0,0,0,2,4,0,1.0,7,31,4,11.4,,BillAn00
15,Nick McCloud,27,CB,15,4,0,27,21,77.8,240,11.4,8.9,3,140.7,9.7,173,67,6,0,0,0,0.0,0,27,2,6.9,,McClNi00
16,Daniel Hardy,27,DL,17,1,0,1,1,100.0,2,2.0,2.0,0,79.2,-3.0,-3,5,0,0,1,0,0.0,1,22,1,4.3,,HardDa01
17,Dayo Odeyingbo,26,DL,8,8,0,2,2,100.0,2,1.0,1.0,1,118.7,-2.5,-5,7,0,2,3,1,1.0,6,21,1,4.5,,OdeyDa00
18,Elijah Hicks,26,DB,17,0,0,5,3,60.0,24,8.0,4.8,0,72.1,9.4,19,5,5,0,0,0,0.0,0,19,0,0.0,,HickEl00
19,Jonathan Owens,30,S,17,0,0,4,4,100.0,37,9.3,9.3,0,105.2,6.5,26,11,6,0,0,0,0.0,0,19,0,0.0,,OwenJo01
20,Dominique Robinson,27,DL,12,0,0,4,4,100.0,49,12.3,12.3,0,117.7,1.8,7,42,0,1,1,0,1.5,4,19,1,5.0,,RobiDo00
21,Jaylon Johnson,26,DB,7,6,1,22,16,72.7,256,16.0,11.6,0,92.2,11.3,134,122,0,0,0,0,0.0,0,17,2,10.5,,JohnJa13
22,Amen Ogbongbemiga,27,LB,8,1,0,5,4,80.0,31,7.8,6.2,0,92.5,8.2,15,16,7,0,0,0,0.0,0,17,1,5.6,,OgboAm00
23,Jaylon Jones,28,CB,15,1,0,3,3,100.0,33,11.0,11.0,0,112.5,8.7,26,7,0,0,0,0,0.0,0,16,0,0.0,,JoneJa12
24,Chris Williams,27,DT,14,0,0,0,0,,0,,,0,,,0,0,0,2,1,0,1.0,4,14,0,0.0,,WillCh08
25,Joe Tryon-Shoyinka,26,DL,8,0,0,0,0,,0,,,0,,,0,0,0,2,1,0,0.0,3,13,1,7.1,,TryoJo00
26,Kyler Gordon,26,DB,3,1,0,10,9,90.0,96,10.7,9.6,1,140.0,10.1,78,18,15,0,0,0,1.0,1,7,0,0.0,,GordKy00
27,Roschon Johnson,24,RB,7,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.0,0,7,1,12.5,,JohnRo07
28,Ruben Hyppolite,24,LB,7,1,0,0,0,,0,,,0,,,0,0,2,0,0,0,0.0,0,6,0,0.0,,HyppRu00
29,Shemar Turner,22,DL,5,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.0,0,6,1,14.3,,TurnSh00
30,Tanoh Kpassagnon,31,DL,4,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,1.0,2,5,0,0.0,,KpasTa00
31,Jonathan Ford,26,DL,8,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.0,0,4,3,42.9,,FordJo00
32,Kyle Monangai,23,RB,17,1,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.0,0,0,1,100.0,,MonaKy00
,Team Totals,,,17,17,23,533,355,69.4,4473,11.7,8.1,32,91.4,8.5,2708,1765,211,51,40,14,35.0,130,1088,91,7.7,,-9999
