Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards,PlayerID
1,D'Andre Swift,26,RB,16,16,13.9,67.9,3.88,41.6,3.0,26.3,1.9,0.69,20.3,,SwifDA00
2,Kyle Monangai,23,RB,17,1,9.94,46.1,2.35,27.0,2.7,19.1,1.9,0.29,33.8,,MonaKy00
3,Caleb Williams,24,QB,17,17,4.53,22.8,1.65,19.3,4.3,3.53,0.8,0.29,15.4,,WillCa03
4,D.J. Moore,28,WR,17,17,0.88,4.65,0.29,3.41,3.9,1.24,1.4,0.12,7.5,,MoorD.00
5,Luther Burden,22,WR,15,5,0.40,2.47,0.20,1.80,4.5,0.67,1.7,0.07,6.0,,BurdLu00
6,Brittain Brown,28,RB,3,0,1.67,12.3,0.67,4.67,2.8,7.67,4.6,0.67,2.5,,BrowBr06
7,Olamide Zaccheaus,28,WR,16,5,0.25,1.56,0.06,1.06,4.3,0.50,2.0,0.00,,,ZaccOl01
8,Tyson Bagent,25,QB,3,0,0.67,2.33,0.00,2.33,3.5,0.00,0.0,0.00,,,BageTy00
9,Roschon Johnson,24,RB,7,0,0.29,2.43,0.14,0.86,3.0,1.57,5.5,0.00,,,JohnRo07
10,Travis Homer,27,RB,10,0,0.10,-0.20,0.00,-0.20,-2.0,0.00,0.0,0.00,,,HomeTr00
11,Colston Loveland,21,TE,16,11,0.06,-0.13,0.00,-0.13,-2.0,0.00,0.0,0.00,,,LoveCo00
,Team Totals,,,17,17,29.7,144.5,8.35,92.8,3.1,51.6,1.7,1.53,19.4,,-9999
