#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,CLE 47,3,1:12,1,Punt
2,1,11:18,CLE 42,6,3:43,42,Touchdown
3,1,5:54,CHI 20,7,4:25,80,Touchdown
4,2,14:09,CHI 23,14,9:28,60,Missed FG
5,2,1:52,CHI 10,3,0:42,9,Punt
6,2,0:40,CHI 26,5,0:40,48,End of Half
7,3,14:03,CHI 47,4,1:50,1,Downs
8,3,10:03,CHI 39,3,1:10,3,Punt
9,3,8:46,CLE 22,1,0:07,22,Touchdown
10,3,5:47,CHI 20,9,5:01,80,Touchdown
11,4,14:49,CHI 48,6,2:59,-2,Punt
12,4,8:55,CLE 22,4,1:25,-1,Field Goal
13,4,0:10,CHI 13,1,0:10,-1,End of Game
