Week,Day,Date,Time,Link,Result,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,September 8,8:15PM ET,boxscore,L,,0-1,,Minnesota Vikings,24,27,20,317,198,119,1,14,254,134,120,1,-1.47,6.40,-4.66
2,Sun,September 14,1:00PM ET,boxscore,L,,0-2,@,Detroit Lions,21,52,19,339,205,134,2,25,511,334,177,,-2.08,-32.57,7.38
3,Sun,September 21,4:25PM ET,boxscore,W,,1-2,,Dallas Cowboys,31,14,19,385,298,87,,23,396,275,121,4,17.62,0.59,-2.74
4,Sun,September 28,4:25PM ET,boxscore,W,,2-2,@,Las Vegas Raiders,25,24,16,271,202,69,1,17,357,117,240,4,-7.88,-1.95,9.15
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Mon,October 13,8:15PM ET,boxscore,W,,3-2,@,Washington Commanders,25,24,19,386,236,150,,22,329,205,124,3,6.79,-6.62,0.68
7,Sun,October 19,1:00PM ET,boxscore,W,,4-2,,New Orleans Saints,26,14,23,386,164,222,1,16,253,209,44,4,5.76,8.23,2.28
8,Sun,October 26,1:00PM ET,boxscore,L,,4-3,@,Baltimore Ravens,16,30,19,372,276,96,1,24,355,178,177,,1.35,-15.48,2.97
9,Sun,November 2,1:00PM ET,boxscore,W,,5-3,@,Cincinnati Bengals,47,42,30,576,293,283,,26,495,449,46,3,32.63,-19.66,-12.53
10,Sun,November 9,1:00PM ET,boxscore,W,,6-3,,New York Giants,24,20,23,391,220,171,,21,431,262,169,1,8.14,-1.85,0.47
11,Sun,November 16,1:00PM ET,boxscore,W,,7-3,@,Minnesota Vikings,19,17,19,320,180,140,,15,265,150,115,2,-3.93,4.62,0.05
12,Sun,November 23,1:00PM ET,boxscore,W,,8-3,,Pittsburgh Steelers,31,28,19,328,229,99,2,22,345,159,186,2,4.25,-4.66,4.79
13,Fri,November 28,3:00PM ET,boxscore,W,,9-3,@,Philadelphia Eagles,24,15,28,425,144,281,1,14,317,230,87,2,5.92,2.78,2.52
14,Sun,December 7,4:25PM ET,boxscore,L,,9-4,@,Green Bay Packers,21,28,21,315,177,138,1,17,337,220,117,1,5.74,-14.34,2.53
15,Sun,December 14,1:00PM ET,boxscore,W,,10-4,,Cleveland Browns,31,3,21,361,219,142,,9,192,142,50,3,7.68,24.36,-3.16
16,Sat,December 20,8:20PM ET,boxscore,W,OT,11-4,,Green Bay Packers,22,16,20,400,250,150,,24,384,192,192,1,7.61,-6.81,6.85
17,Sun,December 28,8:20PM ET,boxscore,L,,11-5,@,San Francisco 49ers,38,42,26,440,330,110,,32,496,296,200,1,26.45,-29.41,1.65
18,Sun,January 4,4:25PM ET,boxscore,L,,11-6,,Detroit Lions,16,19,16,270,205,65,1,26,433,311,122,1,3.31,-11.73,1.69
Wild Card,Sat,January 10,8:00PM ET,boxscore,W,,12-6,,Green Bay Packers,31,27,24,445,352,93,2,21,421,322,99,,11.61,-16.37,4.37
Division,Sun,January 18,6:30PM ET,boxscore,L,OT,12-7,,Los Angeles Rams,17,20,23,417,257,160,3,22,340,229,111,,1.72,-2.65,-2.07
